cgpa,communication_skills,resume_score,coding_score,attendance_placement,placed
6.87,3.4,6.1,6.8,84.6,1
9.75,3.2,8.2,2.6,82.8,1
8.66,9.2,7.8,8.9,50.3,1
7.99,3.2,2.4,6.5,95.7,0
5.78,3.4,2.3,2.4,76.3,0
5.78,7.8,3.4,9.7,65.0,1
5.29,5.0,4.2,5.7,86.6,0
9.33,8.0,4.7,1.7,59.2,0
8.01,1.6,7.1,6.6,83.1,1
8.54,5.4,1.5,3.3,47.2,0
5.1,1.3,1.3,8.2,91.2,0
9.85,1.6,4.5,8.4,69.6,1
9.16,9.2,7.3,9.8,80.0,1
6.06,2.3,2.7,5.5,57.2,0
5.91,5.8,6.8,5.1,82.2,0
5.92,4.7,3.3,7.8,87.5,0
6.52,4.1,9.0,2.2,71.0,0
7.62,9.1,9.1,5.9,79.0,1
7.16,1.2,3.7,5.9,70.1,0
6.46,7.0,3.1,1.8,94.2,0
8.06,9.7,4.7,4.8,72.4,1
5.7,6.0,3.2,8.7,91.3,1
6.46,9.4,7.1,8.7,89.1,1
6.83,1.5,8.4,1.9,67.6,0
7.28,4.8,7.1,1.8,57.7,0
8.93,3.3,8.4,3.4,67.3,0
6.0,7.6,4.6,8.9,90.4,1
7.57,9.8,2.4,2.2,57.5,0
7.96,3.3,7.6,7.5,73.8,1
5.23,6.9,4.2,1.9,89.3,0
8.04,2.8,7.0,6.6,64.4,1
5.85,6.1,3.4,4.2,80.3,0
5.33,5.2,1.7,8.1,58.5,0
9.74,9.7,9.9,3.1,51.0,1
9.83,6.5,2.4,6.8,88.7,1
9.04,4.1,9.9,3.1,50.4,1
6.52,2.0,9.8,7.4,59.9,1
5.49,2.4,8.1,8.9,92.0,1
8.42,3.0,6.9,2.1,64.1,0
7.2,3.3,6.2,8.8,98.5,1
5.61,8.7,8.8,6.3,98.9,1
7.48,6.1,3.6,2.1,59.8,0
5.17,5.7,5.2,4.8,47.3,0
9.55,2.0,6.6,2.4,83.8,0
6.29,8.7,4.7,7.3,69.8,1
8.31,7.5,4.8,7.8,50.5,1
6.56,1.6,4.0,2.0,83.9,0
7.6,7.4,6.1,5.6,46.7,1
7.73,5.9,8.7,8.3,92.9,1
5.92,1.7,2.8,9.4,52.6,0
9.85,5.1,9.4,5.6,52.0,1
8.88,5.4,7.2,9.6,54.7,1
9.7,2.5,8.4,5.8,97.8,1
9.47,9.5,6.0,4.5,83.1,1
7.99,8.6,8.0,8.6,89.1,1
9.61,7.0,1.1,5.4,66.9,1
5.44,5.2,8.4,5.2,63.5,0
5.98,4.7,1.4,5.4,57.9,0
5.23,6.9,9.0,8.6,71.4,1
6.63,5.9,9.9,8.5,75.4,1
6.94,1.6,3.6,4.6,79.7,0
6.36,5.6,2.9,4.0,59.1,0
9.14,8.3,7.9,5.4,97.2,1
6.78,5.1,3.3,6.2,54.3,0
6.4,1.5,8.8,3.1,98.1,0
7.71,8.1,1.9,8.1,45.8,1
5.7,2.8,2.1,5.4,71.5,0
9.01,3.3,9.8,4.0,63.3,1
5.37,2.5,7.1,2.0,69.7,0
9.93,4.0,8.6,3.1,76.4,1
8.86,7.8,3.9,9.5,69.0,1
5.99,5.7,7.1,3.7,67.8,0
5.03,2.8,6.3,2.5,85.3,0
9.08,8.9,6.4,5.1,82.7,1
8.53,8.9,7.1,3.8,90.8,1
8.65,8.8,6.2,1.3,58.7,0
8.86,3.1,4.9,3.9,78.5,0
